312	DUR_VAL	312
313	DUR_VAL	313
314	DUR_VAL	314
315	DUR_VAL	315
316	DUR_VAL	316
317	DUR_VAL	317
318	DUR_VAL	318
319	DUR_VAL	319
320	DUR_VAL	320
321	DUR_VAL	321
322	DUR_VAL	322
323	DUR_VAL	323
324	DUR_VAL	324
325	DUR_VAL	325
326	DUR_VAL	326
327	DUR_VAL	327
328	DUR_VAL	328
329	DUR_VAL	329
330	DUR_VAL	330
331	DUR_VAL	331
332	DUR_VAL	332
333	DUR_VAL	333
334	DUR_VAL	334
335	DUR_VAL	335
336	DUR_VAL	336
337	DUR_VAL	337
338	DUR_VAL	338
339	DUR_VAL	339
340	DUR_VAL	340
341	DUR_VAL	341
342	DUR_VAL	342
343	DUR_VAL	343
344	DUR_VAL	344
345	DUR_VAL	345
346	DUR_VAL	346
347	DUR_VAL	347
348	DUR_VAL	348
349	DUR_VAL	349
350	DUR_VAL	350
351	DUR_VAL	351
352	DUR_VAL	352
353	DUR_VAL	353
354	DUR_VAL	354
355	DUR_VAL	355
356	DUR_VAL	356
357	DUR_VAL	357
358	DUR_VAL	358
359	DUR_VAL	359
360	DUR_VAL	360
361	DUR_VAL	361
362	DUR_VAL	362
363	DUR_VAL	363
364	DUR_VAL	364
365	DUR_VAL	365
0	MAX	0
1	MAX	1
2	MAX	2
3	MAX	3
4	MAX	4
5	MAX	5
6	MAX	6
7	MAX	7
8	MAX	8
9	MAX	9
10	MAX	10
11	MAX	11
12	MAX	12
13	MAX	13
14	MAX	14
15	MAX	15
16	MAX	16
17	MAX	17
18	MAX	18
19	MAX	19
20	MAX	20
21	MAX	21
22	MAX	22
23	MAX	23
24	MAX	24
25	MAX	25
26	MAX	26
27	MAX	27
28	MAX	28
29	MAX	29
30	MAX	30
31	MAX	31
32	MAX	32
33	MAX	33
34	MAX	34
35	MAX	35
36	MAX	36
37	MAX	37
38	MAX	38
39	MAX	39
40	MAX	40
41	MAX	41
42	MAX	42
43	MAX	43
44	MAX	44
45	MAX	45
46	MAX	46
47	MAX	47
48	MAX	48
49	MAX	49
50	MAX	50
51	MAX	51
52	MAX	52
53	MAX	53
54	MAX	54
55	MAX	55
56	MAX	56
57	MAX	57
58	MAX	58
59	MAX	59
60	MAX	60
61	MAX	61
62	MAX	62
63	MAX	63
64	MAX	64
65	MAX	65
66	MAX	66
67	MAX	67
68	MAX	68
69	MAX	69
70	MAX	70
71	MAX	71
72	MAX	72
73	MAX	73
74	MAX	74
75	MAX	75
76	MAX	76
77	MAX	77
78	MAX	78
79	MAX	79
80	MAX	80
81	MAX	81
82	MAX	82
83	MAX	83
84	MAX	84
85	MAX	85
86	MAX	86
87	MAX	87
88	MAX	88
89	MAX	89
90	MAX	90
91	MAX	91
92	MAX	92
93	MAX	93
94	MAX	94
95	MAX	95
96	MAX	96
97	MAX	97
98	MAX	98
99	MAX	99
100	MAX	100
101	MAX	101
102	MAX	102
103	MAX	103
104	MAX	104
105	MAX	105
106	MAX	106
107	MAX	107
108	MAX	108
109	MAX	109
110	MAX	110
111	MAX	111
112	MAX	112
113	MAX	113
114	MAX	114
115	MAX	115
116	MAX	116
117	MAX	117
118	MAX	118
119	MAX	119
120	MAX	120
121	MAX	121
122	MAX	122
123	MAX	123
124	MAX	124
125	MAX	125
126	MAX	126
127	MAX	127
128	MAX	128
129	MAX	129
130	MAX	130
131	MAX	131
132	MAX	132
133	MAX	133
134	MAX	134
135	MAX	135
136	MAX	136
137	MAX	137
138	MAX	138
139	MAX	139
140	MAX	140
141	MAX	141
142	MAX	142
143	MAX	143
144	MAX	144
145	MAX	145
146	MAX	146
147	MAX	147
148	MAX	148
149	MAX	149
150	MAX	150
151	MAX	151
152	MAX	152
153	MAX	153
154	MAX	154
155	MAX	155
156	MAX	156
157	MAX	157
158	MAX	158
159	MAX	159
160	MAX	160
161	MAX	161
162	MAX	162
163	MAX	163
164	MAX	164
165	MAX	165
166	MAX	166
167	MAX	167
168	MAX	168
169	MAX	169
170	MAX	170
171	MAX	171
172	MAX	172
173	MAX	173
174	MAX	174
175	MAX	175
176	MAX	176
177	MAX	177
178	MAX	178
179	MAX	179
180	MAX	180
181	MAX	181
182	MAX	182
183	MAX	183
184	MAX	184
185	MAX	185
186	MAX	186
187	MAX	187
188	MAX	188
189	MAX	189
190	MAX	190
191	MAX	191
192	MAX	192
193	MAX	193
194	MAX	194
195	MAX	195
196	MAX	196
197	MAX	197
198	MAX	198
199	MAX	199
200	MAX	200
201	MAX	201
202	MAX	202
203	MAX	203
204	MAX	204
205	MAX	205
206	MAX	206
207	MAX	207
208	MAX	208
209	MAX	209
210	MAX	210
211	MAX	211
212	MAX	212
213	MAX	213
214	MAX	214
215	MAX	215
216	MAX	216
217	MAX	217
218	MAX	218
219	MAX	219
220	MAX	220
221	MAX	221
222	MAX	222
223	MAX	223
224	MAX	224
225	MAX	225
226	MAX	226
227	MAX	227
228	MAX	228
229	MAX	229
230	MAX	230
231	MAX	231
232	MAX	232
233	MAX	233
234	MAX	234
235	MAX	235
236	MAX	236
237	MAX	237
238	MAX	238
239	MAX	239
240	MAX	240
241	MAX	241
242	MAX	242
243	MAX	243
244	MAX	244
245	MAX	245
246	MAX	246
247	MAX	247
248	MAX	248
249	MAX	249
250	MAX	250
251	MAX	251
252	MAX	252
253	MAX	253
254	MAX	254
255	MAX	255
256	MAX	256
257	MAX	257
258	MAX	258
259	MAX	259
260	MAX	260
261	MAX	261
262	MAX	262
263	MAX	263
264	MAX	264
265	MAX	265
